transfers_out,yellow_cards,code,goals_conceded,photo,saves,influence,ep_this,squad_number,goals_scored,loans_in,web_name,value_season,in_dreamteam,team_code,id,special,first_name,transfers_out_event,chance_of_playing_next_round,cost_change_start,cost_change_event_fall,creativity,cost_change_start_fall,bonus,ict_index,total_points,penalties_missed,transfers_in,status,form,own_goals,loaned_in,now_cost,points_per_game,clean_sheets,assists,selected_by_percent,value_form,loans_out,news,ea_index,penalties_saved,dreamteam_count,event_points,red_cards,loaned_out,transfers_in_event,bps,element_type,ep_next,threat,team,chance_of_playing_this_round,minutes,second_name,cost_change_event
5686,0,158534,0,158534.jpg,0,15.2,3.3,37,0,0,Walker-Peters,1.3,False,6,498,False,Kyle,5686,,0,0,20.7,0,0,4.0,6,0,43993,a,6.0,0,0,45,6.0,1,0,1.8,1.3,0,,0,0,0,6,0,0,43993,29,2,1.8,4.0,17,,90,Walker-Peters,0
1131,0,133801,0,133801.jpg,0,0.0,0.5,17,0,0,Sinclair,0.0,False,57,499,False,Jerome,1131,,0,0,0.0,0,0,0.0,0,0,568,a,0.0,0,0,50,0.0,0,0,0.1,0.0,0,,0,0,0,0,0,0,568,0,4,1.5,0.0,18,,0,Sinclair,0
1158,0,151086,0,151086.jpg,0,0.0,2.1,18,0,0,Lemina,0.0,False,20,500,False,Mario,1158,,0,0,0.0,0,0,0.0,0,0,1258,a,0.0,0,0,50,0.0,0,0,0.2,0.0,0,,0,0,0,0,0,0,1258,0,3,2.1,0.0,14,,0,Lemina,0
677,0,212319,2,212319.jpg,0,0.0,1.2,11,0,0,Richarlison,0.7,False,57,501,False,Richarlison,677,,0,0,1.2,0,0,1.1,4,0,3475,a,4.0,0,0,60,4.0,0,1,0.2,0.7,0,,0,0,0,4,0,0,3475,11,3,2.2,11.0,18,,41,de Andrade,0
62,0,57112,0,57112.jpg,0,0.0,3.3,15,0,0,Mangala,0.0,False,43,502,False,Eliaquim,62,,0,0,0.0,0,0,0.0,0,0,249,a,0.0,0,0,50,0.0,0,0,0.0,0.0,0,,0,0,0,0,0,0,249,0,2,2.3,0.0,11,,0,Mangala,0
19,0,194794,0,194794.jpg,0,0.0,3.3,31,0,0,Tomori,0.0,False,8,503,False,Fikayo,19,,0,0,0.0,0,0,0.0,0,0,52,a,0.0,0,0,45,0.0,0,0,0.0,0.0,0,,0,0,0,0,0,0,52,0,2,1.8,0.0,5,,0,Tomori,0
130,0,181911,0,181911.jpg,0,0.0,2.8,36,0,0,Scott,0.0,False,8,504,False,Kyle,130,,0,0,0.0,0,0,0.0,0,0,264,a,0.0,0,0,45,0.0,0,0,0.0,0.0,0,,0,0,0,0,0,0,264,0,3,1.3,0.0,5,,0,Scott,0
821,0,94926,0,94926.jpg,0,0.0,1.2,19,0,0,Ladapo,0.0,False,31,505,False,Olayinka Fredrick Oladotun,821,,0,0,0.0,0,0,0.0,0,0,2180,a,0.0,0,0,45,0.0,0,0,0.1,0.0,0,,0,0,0,0,0,0,2180,0,4,0.2,0.0,6,,0,Ladapo,0
220,0,3201,0,3201.jpg,0,0.0,1.5,28,0,0,Taylor,0.0,False,20,506,False,Stuart,220,,0,0,0.0,0,0,0.0,0,0,1274,a,0.0,0,0,40,0.0,0,0,0.2,0.0,0,,0,0,0,0,0,0,1274,0,1,1.5,0.0,14,,0,Taylor,0
307,0,232427,0,232427.jpg,0,6.6,1.3,34,0,0,Harper,0.2,False,35,507,False,Rekeem,307,,0,0,20.4,0,0,2.7,1,0,664,a,1.0,0,0,45,1.0,0,0,0.0,0.2,0,,0,0,0,1,0,0,664,6,3,1.3,0.0,19,,20,Harper,0
698,0,215457,0,215457.jpg,0,0.0,1.3,49,0,0,Wilson,0.0,False,35,508,False,Kane,698,,0,0,0.0,0,0,0.0,0,0,3388,a,0.0,0,0,40,0.0,0,0,0.2,0.0,0,,0,0,0,0,0,0,3388,0,2,1.3,0.0,19,,0,Wilson,0
53,0,135365,0,135365.jpg,0,0.0,3.7,38,0,0,Boga,0.2,False,8,509,False,Jeremie,53,,0,0,1.0,0,0,0.0,1,0,204,a,1.0,0,0,60,1.0,0,0,0.0,0.2,0,,0,0,0,1,0,0,204,1,3,2.2,0.0,5,,17,Boga,0
17,0,204480,2,204480.jpg,0,4.2,0.8,41,0,0,Rice,0.0,False,21,510,False,Declan,17,,0,0,1.1,0,0,0.5,0,0,90,a,0.0,0,0,45,0.0,0,0,0.0,0.0,0,,0,0,0,0,0,0,90,4,2,1.3,0.0,20,,29,Rice,0
44,0,168763,0,168763.jpg,0,0.0,3.3,38,0,0,Carter-Vickers,0.0,False,6,511,False,Cameron,44,,0,0,0.0,0,0,0.0,0,0,145,a,0.0,0,0,45,0.0,0,0,0.0,0.0,0,,0,0,0,0,0,0,145,0,2,1.8,0.0,17,,0,Carter-Vickers,0
